Attribute,Demographic parity diff (approval),Disparate impact ratio (80% rule),Equal opportunity diff (TPR gap),Equalized odds diff (max TPR/FPR gap)
Sex,0.117,0.795,0.056,0.102
Age band,0.298,0.497,0.163,0.301
