Attribute,Scenario,Demographic parity diff (approval),Disparate impact ratio (80% rule),Equal opportunity diff (TPR gap),Equalized odds diff (max TPR/FPR gap),Overall accuracy,Overall recall (bad)
Age band,Baseline (0.5 threshold),0.274,0.543,0.225,0.283,0.697,0.757
Age band,Mitigated (group thresholds),0.051,0.921,0.201,0.201,0.707,0.68
Foreign worker,Baseline (0.5 threshold),0.222,0.707,0.247,0.247,0.697,0.757
Foreign worker,Mitigated (group thresholds),0.059,0.927,0.034,0.034,0.734,0.467
