Poisoning rate,Labels flipped,Recall (bad),ROC-AUC
0.0,0,0.75,0.77
0.05,40,0.833,0.786
0.1,80,0.8,0.777
0.2,160,0.817,0.776
0.3,240,0.767,0.749
