Feature set,Accuracy,Precision (bad),Recall (bad),F1 (bad),ROC-AUC
Full UCI (20 features),0.705,0.506,0.733,0.599,0.79
Kaggle subset (9 features),0.695,0.494,0.7,0.579,0.774
