Attribute,Demographic parity diff (approval),Disparate impact ratio (80% rule),Equal opportunity diff (TPR gap),Equalized odds diff (max TPR/FPR gap)
Sex,0.139,0.782,0.111,0.111
Age band,0.276,0.575,0.2,0.269
Foreign worker,0.223,0.725,0.203,0.203
