Attribute,Demographic parity diff (approval),Disparate impact ratio (80% rule),Equal opportunity diff (TPR gap),Equalized odds diff (max TPR/FPR gap)
Sex,0.106,0.828,0.03,0.099
Age band,0.279,0.562,0.275,0.3
