Feature set,Accuracy,Precision (bad),Recall (bad),F1 (bad),ROC-AUC
Full UCI (20 features),0.695,0.495,0.783,0.606,0.783
Kaggle subset (9 features),0.69,0.489,0.75,0.592,0.77
